=== Case 0 ===
  Agent: Planner
  step 0: [1:0.3580, user:0.1162, \n\n:0.0622, 俍:0.0377, 0:0.0259]
  step 29: [\n\n:0.5152,  to:0.1673, .:0.1014, \n:0.0329, ,:0.0291]
  step 30: [\n\n:0.5093,  to:0.1654, .:0.1003,  is:0.0326, \n:0.0326]
  step 31: [\n\n:0.4648,  to:0.1710, .:0.1175, \n:0.0337, ,:0.0337]
  step 32: [\n\n:0.4572,  to:0.1682, .:0.1156,  is:0.0375, ,:0.0375]
  step 33: [\n\n:0.4577,  to:0.1684, .:0.1157,  is:0.0376, ,:0.0332]
  step 34: [\n\n:0.4231,  to:0.1557, .:0.1374,  is:0.0394, ,:0.0394]
  step 35: [\n\n:0.4325,  to:0.1591, .:0.1239,  is:0.0402, ,:0.0402]
  step 36: [\n\n:0.3994,  to:0.1665, .:0.1297,  is:0.0421, ,:0.0421]
  step 37: [\n\n:0.4092,  to:0.1505, .:0.1328,  is:0.0431, ,:0.0431]
  step 38: [\n\n:0.3753,  to:0.1564, .:0.1381,  is:0.0448, ,:0.0448]
  step 39: [\n\n:0.3984,  to:0.1466, .:0.1294,  is:0.0476, ,:0.0420]

=== Case 56 ===
  Agent: Planner
  step 0: [<|im_start|>:0.4028, </think>:0.3137, \n\n\n:0.0793, guna:0.0156, \n\n:0.0138]
  step 1: [\n\n:0.9997, \n:0.0003, \n\n\n:0.0000, \n \n:0.0000, \n\t\n:0.0000]
  step 2: [\n\n:0.9825, .:0.0159, \n:0.0012, .\n\n:0.0003,  the:0.0001]
  step 3: [\n\n:0.9484, .\n\n:0.0325, \n:0.0064, .:0.0064, .T:0.0056]
  step 4: [.\n\n:0.7116, .:0.1799, \n\n:0.0850, .\n:0.0167, \n:0.0062]
  step 5: [\n\n:0.8176, \n:0.1824, .:0.0000, .\n\n:0.0000, \n\n\n:0.0000]
  step 6: [\n\n:0.9046, \n:0.0953, .:0.0000, .\n\n:0.0000, \n\n\n:0.0000]
  step 7: [\n\n:0.9706, \n:0.0293, .\n\n:0.0000, .:0.0000, .\n:0.0000]
  step 8: [\n\n:0.9817, \n:0.0180, .\n\n:0.0002, .:0.0001, \n\t\n:0.0000]
  step 9: [\n\n:0.9825, \n:0.0159, .\n\n:0.0008, .:0.0004, \n\t\n:0.0003]
  step 10: [\n\n:0.9781, \n:0.0179, .\n\n:0.0019, .:0.0010, \n\t\n:0.0008]
  step 11: [\n\n:0.9746, \n:0.0179, .\n\n:0.0027, \n\t\n:0.0024, .:0.0017]
  step 12: [\n\n:0.9694, \n:0.0178, \n\t\n:0.0051, .\n\n:0.0040, .:0.0024]
  step 13: [\n\n:0.9568, \n:0.0199, \n\t\n:0.0106, .\n\n:0.0057, .:0.0044]
  step 14: [\n\n:0.9404, \n:0.0221, \n\t\n:0.0195, .\n\n:0.0072, .:0.0063]
  step 15: [\n\n:0.9163, \n\t\n:0.0355, \n:0.0215, .\n\n:0.0102, .:0.0090]
  step 16: [\n\n:0.8816, \n\t\n:0.0564, \n:0.0235, .:0.0142, .\n\n:0.0126]
  step 17: [\n\n:0.8459, \n\t\n:0.0787, \n:0.0225, .:0.0199, .\n\n:0.0155]
  step 18: [\n\n:0.7976, \n\t\n:0.1079, .:0.0273, \n:0.0241, .\n\n:0.0188]
  step 19: [\n\n:0.7410, \n\t\n:0.1459, .:0.0326, \n:0.0254, .\n\n:0.0224]
  step 20: [\n\n:0.6978, \n\t\n:0.1764, .:0.0394, .\n\n:0.0239, \n:0.0239]
  step 21: [\n\n:0.6404, \n\t\n:0.2079, .:0.0526, .\n\n:0.0281, \n:0.0248]
  step 22: [\n\n:0.6143, \n\t\n:0.2260, .:0.0571, .\n\n:0.0306, \n:0.0210]
  step 23: [\n\n:0.5290, \n\t\n:0.2832, .:0.0716, .\n\n:0.0338, \n:0.0205]
  step 24: [\n\n:0.5007, \n\t\n:0.3037, .:0.0768, .\n\n:0.0320, \n:0.0194]
  step 25: [\n\n:0.4648, \n\t\n:0.3195, .:0.0915, .\n\n:0.0337, \n:0.0180]
  step 26: [\n\n:0.4071, \n\t\n:0.3592, .:0.1029, .\n\n:0.0379, \n\t\t\n:0.0179]
  step 27: [\n\n:0.3689, \n\t\n:0.3689, .:0.1198, .\n\n:0.0389, \n\t\t\n:0.0208]
  step 28: [\n\t\n:0.4128, \n\n:0.3215, .:0.1183, .\n\n:0.0384, \n\t\t\n:0.0233]
  step 29: [\n\t\n:0.4036, \n\n:0.3144, .:0.1310, .\n\n:0.0425, \n\t\t\n:0.0228]
  step 30: [\n\t\n:0.4212, \n\n:0.2895, .:0.1367, .\n\n:0.0392, \n\t\t\n:0.0238]
  step 31: [\n\t\n:0.4145, \n\n:0.2514, .:0.1728, .\n\n:0.0437, \n\t\t\n:0.0234]
  step 32: [\n\t\n:0.4436, \n\n:0.2374, .:0.1632, .\n\n:0.0413, \n\t\t\n:0.0250]
  step 33: [\n\t\n:0.4429, \n\n:0.2092, .:0.1846, .\n\n:0.0412, \n\t\t\n:0.0250]
  step 34: [\n\t\n:0.4413, \n\n:0.2085, .:0.1840, .\n\n:0.0410, \n\t\t\n:0.0249]
  step 35: [\n\t\n:0.4532, \n\n:0.1889, .:0.1889, .\n\n:0.0422, \n\t\t\n:0.0256]
  step 36: [\n\t\n:0.4651, .:0.1939, \n\n:0.1711, .\n\n:0.0433, \n\t\t\n:0.0262]
  step 37: [\n\t\n:0.4492, .:0.2122, \n\n:0.1652, .\n\n:0.0418, \n\t\t\n:0.0287]
  step 38: [\n\t\n:0.4881, .:0.2035, \n\n:0.1398, .\n\n:0.0401, \n\t\t\n:0.0275]
  step 39: [\n\t\n:0.4908, .:0.2046, \n\n:0.1406, .\n\n:0.0356, \n\t\t\n:0.0277]

=== Case 57 ===
  Agent: Planner
  step 0: [</think>:0.8176, \n\n:0.0862, <|im_start|>:0.0761, 1:0.0012, \n\n\n:0.0011]
  step 1: [\n\n:0.9981, \n:0.0019, \n\n\n:0.0000, \n \n:0.0000, \n\t\n:0.0000]
  step 2: [\n\n:0.9991, \n:0.0009,   \n\n:0.0000, \n\t\n:0.0000, .\n\n:0.0000]
  step 3: [\n\n:0.9964, .\n\n:0.0022, \n:0.0013, .:0.0001,   \n\n:0.0000]
  step 4: [\n\n:0.9001, .\n\n:0.0837, \n:0.0088, .:0.0061, .\n:0.0009]
  step 5: [\n\n:0.9900, \n:0.0097, .\n\n:0.0001, .:0.0001,   \n:0.0000]
  step 6: [\n\n:0.8950, \n:0.0943, .\n\n:0.0053, .:0.0047, .\n:0.0006]
  step 7: [\n\n:0.8886, \n:0.1061, .\n\n:0.0028, .:0.0019, .\n:0.0004]
  step 8: [\n\n:0.9048, \n:0.0842, .\n\n:0.0061, .:0.0037, .\n:0.0008]
  step 9: [\n\n:0.9167, \n:0.0664, .\n\n:0.0090, .:0.0055, .\n:0.0014]
  step 10: [\n\n:0.9167, \n:0.0586, .\n\n:0.0115, .:0.0090, .\n:0.0018]
  step 11: [\n\n:0.9231, \n:0.0521, .\n\n:0.0103, .:0.0090, .\n:0.0018]
  step 12: [\n\n:0.9173, \n:0.0518, .\n\n:0.0115, .:0.0115, .\n:0.0020]
  step 13: [\n\n:0.9026, \n:0.0577, .\n\n:0.0146, .:0.0146, .\n:0.0025]
  step 14: [\n\n:0.8908, \n:0.0645, .:0.0163, .\n\n:0.0144, .\n:0.0032]
  step 15: [\n\n:0.8770, \n:0.0720, .:0.0182, .\n\n:0.0161, \n\t\n:0.0046]
  step 16: [\n\n:0.8784, \n:0.0636, .:0.0207, .\n\n:0.0182, \n\t\n:0.0052]
  step 17: [\n\n:0.8463, \n:0.0787, .:0.0256, .\n\n:0.0226, \n\t\n:0.0083]
  step 18: [\n\n:0.8427, \n:0.0784, .:0.0288, .\n\n:0.0225, \n\t\n:0.0094]
  step 19: [\n\n:0.8237, \n:0.0868, .:0.0319, .\n\n:0.0249, \n\t\n:0.0117]
  step 20: [\n\n:0.8047, \n:0.0961, .:0.0354, .\n\n:0.0275, \n\t\n:0.0130]
  step 21: [\n\n:0.7969, \n:0.0952, .:0.0397, .\n\n:0.0273, \n\t\n:0.0165]
  step 22: [\n\n:0.7930, \n:0.0947, .:0.0395, .\n\n:0.0271, \n\t\n:0.0186]
  step 23: [\n\n:0.7676, \n:0.1039, .:0.0491, .\n\n:0.0298, \n\t\n:0.0205]
  step 24: [\n\n:0.7787, \n:0.0930, .:0.0498, .\n\n:0.0302, \n\t\n:0.0183]
  step 25: [\n\n:0.7438, \n:0.1007, .:0.0611, .\n\n:0.0370, \n\t\n:0.0225]
  step 26: [\n\n:0.7298, \n:0.0988, .:0.0679, .\n\n:0.0412, \n\t\n:0.0250]
  step 27: [\n\n:0.7356, \n:0.0996, .:0.0604, .\n\n:0.0415, \n\t\n:0.0252]
  step 28: [\n\n:0.7212, \n:0.0976, .:0.0671, .\n\n:0.0461, \n\t\n:0.0280]
  step 29: [\n\n:0.6955, \n:0.1067, .:0.0831, .\n\n:0.0445, \n\t\n:0.0270]
  step 30: [\n\n:0.6886, \n:0.1056, .:0.0822, .\n\n:0.0499, \n\t\n:0.0267]
  step 31: [\n\n:0.6870, \n:0.1054, .:0.0821, .\n\n:0.0498, \n\t\n:0.0302]
  step 32: [\n\n:0.6723, \n:0.1031, .:0.0910, .\n\n:0.0552, \n\t\n:0.0295]
  step 33: [\n\n:0.6666, .:0.1022, \n:0.0902, .\n\n:0.0547, \n\t\n:0.0332]
  step 34: [\n\n:0.6606, \n:0.1013, .:0.1013, .\n\n:0.0542, \n\t\n:0.0290]
  step 35: [\n\n:0.6682, .:0.1025, \n:0.0904, .\n\n:0.0548, \n\t\n:0.0294]
  step 36: [\n\n:0.6369, .:0.1107, \n:0.0977, .\n\n:0.0671, \n\t\n:0.0317]
  step 37: [\n\n:0.6261, .:0.1233, \n:0.0960, .\n\n:0.0660, \n\t\n:0.0312]
  step 38: [\n\n:0.6244, .:0.1230, \n:0.0958, .\n\n:0.0658, \n\t\n:0.0311]
  step 39: [\n\n:0.6143, .:0.1371, \n:0.0942, .\n\n:0.0647, \n\t\n:0.0306]

=== Case 58 ===
  Agent: Planner
  step 0: [<|im_start|>:0.5248, <think>:0.1930, </think>:0.1033, numerusform:0.0140, 俍:0.0109]
  step 1: [\n\n:1.0000, \n:0.0000, \n\n\n:0.0000, \n \n:0.0000,  \n\n:0.0000]
  step 2: [\n\n:0.9733, .:0.0229, \n:0.0024, .\n\n:0.0013, \n\n\n:0.0000]
  step 3: [\n\n:0.9014, .\n\n:0.0576, \n:0.0212, .:0.0165, .\n:0.0020]
  step 4: [\n\n:0.7396, .\n\n:0.1285, .:0.0536, \n\t\n:0.0417, \n:0.0223]
  step 5: [\n\n:0.9947, \n:0.0052, \n\n\n:0.0000, .:0.0000, \n\t\n:0.0000]
  step 6: [\n\n:0.9988, \n:0.0012, \n\t\n:0.0000, \n\n\n:0.0000, .:0.0000]
  step 7: [\n\n:0.9981, \n:0.0015, =:0.0002, =":0.0001, .:0.0001]
  step 8: [\n\n:0.9859, \n:0.0075, .\n\n:0.0036, .:0.0028, \n\t\n:0.0001]
  step 9: [\n\n:0.9886, .\n\n:0.0052, \n:0.0046, .:0.0012, \n\t\n:0.0003]
  step 10: [\n\n:0.9433, .\n\n:0.0366, .:0.0119, \n:0.0056, \n\t\n:0.0014]
  step 11: [\n\n:0.9924, \n:0.0025, .\n\n:0.0019, \n\t\n:0.0017, .:0.0010]
  step 12: [\n\n:0.9267, .\n\n:0.0407, .:0.0192, \n\t\n:0.0055, \n:0.0043]
  step 13: [\n\n:0.9844, \n\t\n:0.0046, .\n\n:0.0040, .:0.0028, \n:0.0024]
  step 14: [\n\n:0.8934, .\n\n:0.0504, .:0.0306, \n\t\n:0.0127, \n:0.0047]
  step 15: [\n\n:0.9423, .\n\n:0.0196, \n\t\n:0.0152, .:0.0119, \n:0.0039]
  step 16: [\n\n:0.8512, .\n\n:0.0544, .:0.0424, \n\t\n:0.0291, \n:0.0057]
  step 17: [\n\n:0.8840, .\n\n:0.0343, \n\t\n:0.0302, .:0.0267, \n:0.0060]
  step 18: [\n\n:0.8083, .\n\n:0.0586, .:0.0517, \n\t\n:0.0456, ..:0.0090]
  step 19: [\n\n:0.8093, \n\t\n:0.0586, .\n\n:0.0517, .:0.0403, ..:0.0079]
  step 20: [\n\n:0.7619, \n\t\n:0.0709, .:0.0625, .\n\n:0.0552, ..:0.0123]
  step 21: [\n\n:0.7125, \n\t\n:0.0851, .:0.0751, .\n\n:0.0663, ..:0.0148]
  step 22: [\n\n:0.6738, \n\t\n:0.1033, .:0.0805, .\n\n:0.0710, ..:0.0180]
  step 23: [\n\n:0.6240, \n\t\n:0.1229, .:0.0957, .\n\n:0.0745, ..:0.0214]
  step 24: [\n\n:0.5809, \n\t\n:0.1296, .:0.1144, .\n\n:0.0786, ..:0.0255]
  step 25: [\n\n:0.5678, \n\t\n:0.1436, .:0.1118, .\n\n:0.0768, ..:0.0283]
  step 26: [\n\n:0.5281, \n\t\n:0.1513, .:0.1335, .\n\n:0.0810, ..:0.0298]
  step 27: [\n\n:0.5026, \n\t\n:0.1632, .:0.1440, .\n\n:0.0771, ..:0.0321]
  step 28: [\n\n:0.4610, \n\t\n:0.1696, .:0.1497, .\n\n:0.0908, ..:0.0378]
  step 29: [\n\n:0.4256, \n\t\n:0.1774, .:0.1774, .\n\n:0.0838, ..:0.0396]
  step 30: [\n\n:0.3787, \n\t\n:0.2027, .:0.1789, .\n\n:0.0958, ..:0.0399]
  step 31: [\n\n:0.3756, \n\t\n:0.2010, .:0.1774, .\n\n:0.0950, ..:0.0449]
  step 32: [\n\n:0.3625, \n\t\n:0.1940, .:0.1940, .\n\n:0.0917, ..:0.0491]
  step 33: [\n\n:0.2994, .:0.2331, \n\t\n:0.2057, .\n\n:0.0972, ..:0.0520]
  step 34: [\n\n:0.3047, .:0.2373, \n\t\n:0.2094, .\n\n:0.0873, ..:0.0467]
  step 35: [\n\n:0.2524, .:0.2524, \n\t\n:0.2227, .\n\n:0.0928, ..:0.0563]
  step 36: [\n\n:0.2522, .:0.2522, \n\t\n:0.2226, .\n\n:0.0928, ..:0.0563]
  step 37: [.:0.2599, \n\t\n:0.2294, \n\n:0.2294, .\n\n:0.0956, ..:0.0580]
  step 38: [.:0.2611, \n\t\n:0.2304, \n\n:0.2304, .\n\n:0.0960, ..:0.0582]
  step 39: [.:0.2814, \n\t\n:0.2192, \n\n:0.2192, .\n\n:0.0914, ..:0.0628]

=== Case 59 ===
  Agent: Planner
  step 0: [<|im_start|>:0.7169, </think>:0.2328, <think>:0.0169, \n\n:0.0149, 堨:0.0029]
  step 1: [\n\n:0.9998, \n:0.0002,   \n\n:0.0000,  \n\n:0.0000, \n \n:0.0000]
  step 2: [\n\n:0.8682,  is:0.0808,  should:0.0124,  to:0.0075, :\n\n:0.0058]
  step 3: [\n\n:0.9243,  plan:0.0316, :\n\n:0.0091,  is:0.0055,  the:0.0055]
  step 4: [\n\n:0.9809, \n:0.0058,  \n\n:0.0040,  the:0.0021,   \n\n:0.0019]
  step 5: [\n\n:1.0000, \n:0.0000, \n\n\n:0.0000, \n \n:0.0000, \n    \n:0.0000]
  step 6: [\n\n:0.9972, \n:0.0028, \n \n:0.0000,   \n\n:0.0000, \n\t\n:0.0000]
  step 7: [\n\n:0.9990, \n:0.0010,   \n\n:0.0000,   \n:0.0000,  \n\n:0.0000]
  step 8: [\n\n:0.9994, \n:0.0006, \n\n\n:0.0000, \n \n:0.0000,  \n\n:0.0000]
  step 9: [::0.9882, \n\n:0.0067, \n:0.0024, .:0.0024, :\n:0.0002]
  step 10: [\n\n:0.9983, \n:0.0017,  \n\n:0.0000,   \n\n:0.0000, \n\t\n:0.0000]
  step 11: [\n\n:0.9998, \n:0.0002, \n\n\n:0.0000,  \n\n:0.0000, \n \n:0.0000]
  step 12: [\n\n:0.9941, \n:0.0059, \n\t\n:0.0000, <|im_end|>:0.0000, \n\t\t\n:0.0000]
  step 13: [\n\n:0.9992, \n:0.0008, \n\n\n:0.0000,  \n\n:0.0000,   \n\n:0.0000]
  step 14: [\n:0.4428, \n\n:0.3449, <space>:0.0599,  for:0.0250,  in:0.0220]
  step 15: [\n\n:0.9899, \n:0.0067,  the:0.0006,  to:0.0004,  is:0.0002]
  step 16: [\n\n:0.9992, \n:0.0008, \n\n\n:0.0000,  \n\n:0.0000, \n \n:0.0000]
  step 17: [\n:0.4323, \n\n:0.2042, <space>:0.1093,  (:0.0751, 的:0.0516]
  step 18: [\n\n:0.9750, \n:0.0108,  the:0.0026,  to:0.0011, <space>:0.0009]
  step 19: [\n\n:0.9951, \n:0.0046,  \n\n:0.0000, <space>:0.0000, \n\n\n:0.0000]
  step 20: [\n\n:0.9894, \n:0.0086, <space>:0.0002,  \n\n:0.0002,  là:0.0001]
  step 21: [\n\n:0.9820, \n:0.0109, <space>:0.0007,  là:0.0005,  \n\n:0.0005]
  step 22: [\n\n:0.9671, \n:0.0138,  là:0.0016, <space>:0.0016,  \n\n:0.0009]
  step 23: [\n\n:0.9399, \n:0.0183,  là:0.0038, <space>:0.0032,  \n\n:0.0016]
  step 24: [\n\n:0.9071, \n:0.0213,  là:0.0078, <space>:0.0048,  \n\n:0.0022]
  step 25: [\n\n:0.8677, \n:0.0217,  là:0.0132, <space>:0.0058,  the:0.0031]
  step 26: [\n\n:0.7987, \n:0.0241,  là:0.0227, <space>:0.0083,  có:0.0054]
  step 27: [\n\n:0.7441,  là:0.0307, \n:0.0225, <space>:0.0100,  có:0.0073]
  step 28: [\n\n:0.6591,  là:0.0449, \n:0.0240, <space>:0.0129,  có:0.0100]
  step 29: [\n\n:0.5759,  là:0.0570, \n:0.0238, <space>:0.0144,  có:0.0127]
  step 30: [\n\n:0.5002,  là:0.0721, \n:0.0220, <space>:0.0171,  có:0.0151]
  step 31: [\n\n:0.4386,  là:0.0811, \n:0.0205, <space>:0.0181,  có:0.0170]
  step 32: [\n\n:0.3532,  là:0.0893, <space>:0.0199, \n:0.0199,  có:0.0176]
  step 33: [\n\n:0.3318,  là:0.0951, <space>:0.0199, \n:0.0187,  có:0.0176]
  step 34: [\n\n:0.2765,  là:0.1083, <space>:0.0213,  có:0.0188, \n:0.0166]
  step 35: [\n\n:0.2711,  là:0.1062, <space>:0.0209,  có:0.0184, \n:0.0163]
  step 36: [\n\n:0.2397,  là:0.1063, <space>:0.0223,  có:0.0185,  để:0.0174]
  step 37: [\n\n:0.2444,  là:0.1019, <space>:0.0227,  để:0.0166, \n:0.0156]
  step 38: [\n\n:0.2291,  là:0.1017, <space>:0.0227,  để:0.0177,  có:0.0156]
  step 39: [\n\n:0.2256,  là:0.0940, <space>:0.0238,  để:0.0174, \n:0.0154]

=== Case 40 ===
  Agent: Critic
  step 0: [Human:0.7128, You:0.0851, A:0.0355, Given:0.0313, In:0.0131]
  step 1: [ the:0.4140, \n\n:0.2511,  a:0.0868, .:0.0494,  human:0.0265]
  step 2: [.:0.2214, \n\n:0.1836, \n:0.0815,  the:0.0596,  that:0.0464]
  step 3: [.:0.2925, \n\t\n:0.1382, \n\n:0.1076, \n:0.0576, <space>:0.0372]
  step 4: [\n\n:0.3277, \n\t\n:0.3079, .:0.1366, \n:0.0325, <space>:0.0269]
  step 5: [\n:0.2479, \n\n:0.2187, <space>:0.2187, .:0.0357,  for:0.0296]
  step 6: [\n\n:0.7770, .:0.0723, \n:0.0321, <space>:0.0207,  the:0.0134]
  step 7: [\n\n:0.7513, .:0.0792, \n:0.0374, <space>:0.0156,  the:0.0129]
  step 8: [\n\n:0.6996, .:0.0947, \n:0.0420, <space>:0.0211,  the:0.0155]
  step 9: [\n\n:0.6591, .:0.1011, \n:0.0396, <space>:0.0256,  the:0.0187]
  step 10: [\n\n:0.6060, .:0.1193, \n:0.0412, <space>:0.0302,  the:0.0195]
  step 11: [\n\n:0.5650, .:0.1261, \n:0.0409, <space>:0.0339,  :0.0233]
  step 12: [\n\n:0.5177, .:0.1309, <space>:0.0399, \n:0.0399,  :0.0292]
  step 13: [\n\n:0.4963, .:0.1336, <space>:0.0407, \n:0.0383,  :0.0317]
  step 14: [\n\n:0.4549, .:0.1387, <space>:0.0450, \n:0.0397,  :0.0351]
  step 15: [\n\n:0.4198, .:0.1451, <space>:0.0471,  :0.0390, \n:0.0367]
  step 16: [\n\n:0.3978, .:0.1375, <space>:0.0506,  :0.0394, \n:0.0348]
  step 17: [\n\n:0.3672, .:0.1351, <space>:0.0563,  :0.0439, \n:0.0342]
  step 18: [\n\n:0.3482, .:0.1452, <space>:0.0568,  :0.0443, \n:0.0345]
  step 19: [\n\n:0.3139, .:0.1393, <space>:0.0581,  :0.0452, \n:0.0331]
  step 20: [\n\n:0.3094, .:0.1373, <space>:0.0572,  :0.0475, \n:0.0306]
  step 21: [\n\n:0.2913, .:0.1376, <space>:0.0611,  :0.0447,  là:0.0327]
  step 22: [\n\n:0.2662, .:0.1425, <space>:0.0594,  :0.0463,  là:0.0338]
  step 23: [\n\n:0.2485, .:0.1416, <space>:0.0628,  :0.0460,  là:0.0358]
  step 24: [\n\n:0.2334, .:0.1330, <space>:0.0628,  :0.0460,  là:0.0381]
  step 25: [\n\n:0.2245, .:0.1362, <space>:0.0604,  :0.0415,  là:0.0390]
  step 26: [\n\n:0.2099, .:0.1355, <space>:0.0601,  :0.0440,  là:0.0413]
  step 27: [\n\n:0.1943, .:0.1336, <space>:0.0593,  là:0.0407,  :0.0407]
  step 28: [\n\n:0.1875, .:0.1372, <space>:0.0572,  là:0.0393,  :0.0393]
  step 29: [\n\n:0.1723, .:0.1342, <space>:0.0559,  là:0.0409,  :0.0385]
  step 30: [\n\n:0.1755, .:0.1367, <space>:0.0570,  là:0.0417,  :0.0392]
  step 31: [\n\n:0.1653, .:0.1370, <space>:0.0571,  là:0.0393,  :0.0393]
  step 32: [\n\n:0.1592, .:0.1320, <space>:0.0550,  là:0.0403,  :0.0403]
  step 33: [\n\n:0.1571, .:0.1387, <space>:0.0578,  là:0.0397,  :0.0397]
  step 34: [\n\n:0.1469, .:0.1380, <space>:0.0575,  là:0.0395,  :0.0395]
  step 35: [\n\n:0.1496, .:0.1320, <space>:0.0550,  là:0.0403,  :0.0403]
  step 36: [.:0.1411, \n\n:0.1411, <space>:0.0553,  :0.0404,  là:0.0380]
  step 37: [.:0.1363, \n\n:0.1363, <space>:0.0568,  :0.0416,  là:0.0391]
  step 38: [.:0.1389, \n\n:0.1305, <space>:0.0544,  là:0.0398,  :0.0398]
  step 39: [.:0.1392, \n\n:0.1308, <space>:0.0545,  :0.0399,  là:0.0375]

=== Case 41 ===
  Agent: Critic
  step 0: [Human:0.5742, You:0.0471, A:0.0416, Given:0.0324, In:0.0286]
  step 1: [\n\n:0.2285,  the:0.2017, \n:0.1386,  a:0.0953, .:0.0697]
  step 2: [\n:0.3403, \n\n:0.1419, .:0.1252, ::0.0317,  is:0.0297]
  step 3: [.:0.1924, \n:0.1498, \n\n:0.1167, <space>:0.0429,  the:0.0379]
  step 4: [\n\n:0.2366, .:0.2088, \n:0.1435, <space>:0.0528,  the:0.0363]
  step 5: [.:0.6835, \n\n:0.1188, .\n\n:0.0636, ..:0.0265, ..\n\n:0.0133]
  step 6: [.:0.6615, \n\n:0.1302, .\n\n:0.0697, ..:0.0291, ..\n\n:0.0137]
  step 7: [.:0.6519, \n\n:0.1133, .\n\n:0.0779, ..:0.0325, ..\n\n:0.0174]
  step 8: [.:0.6468, \n\n:0.0992, .\n\n:0.0875, ..:0.0365, ..\n\n:0.0183]
  step 9: [.:0.6628, \n\n:0.0897, .\n\n:0.0792, ..:0.0374, ..\n\n:0.0188]
  step 10: [.:0.6390, .\n\n:0.0865, \n\n:0.0865, ..:0.0463, ..\n\n:0.0205]
  step 11: [.:0.6461, .\n\n:0.0874, \n\n:0.0772, ..:0.0468, ..\n\n:0.0208]
  step 12: [.:0.6241, .\n\n:0.0957, \n\n:0.0745, ..:0.0512, ..\n\n:0.0227]
  step 13: [.:0.6172, .\n\n:0.0947, \n\n:0.0737, ..:0.0574, ..\n\n:0.0239]
  step 14: [.:0.6104, .\n\n:0.0936, \n\n:0.0729, ..:0.0568, ..\n\n:0.0252]
  step 15: [.:0.6186, .\n\n:0.0949, \n\n:0.0652, ..:0.0575, ..\n\n:0.0255]
  step 16: [.:0.6071, .\n\n:0.1055, \n\n:0.0640, ..:0.0565, ..\n\n:0.0251]
  step 17: [.:0.6146, .\n\n:0.1068, ..:0.0572, \n\n:0.0572, ..\n\n:0.0254]
  step 18: [.:0.6089, .\n\n:0.1058, ..:0.0566, \n\n:0.0566, ..\n\n:0.0268]
  step 19: [.:0.6006, .\n\n:0.1044, ..:0.0633, \n\n:0.0559, ..\n\n:0.0264]
  step 20: [.:0.5829, .\n\n:0.1148, ..:0.0696, \n\n:0.0542, ..\n\n:0.0290]
  step 21: [.:0.5946, .\n\n:0.1171, ..:0.0627, \n\n:0.0488, ..\n\n:0.0296]
  step 22: [.:0.5860, .\n\n:0.1154, ..:0.0700, \n\n:0.0481, ..\n\n:0.0292]
  step 23: [.:0.5870, .\n\n:0.1156, ..:0.0701, \n\n:0.0482, ..\n\n:0.0292]
  step 24: [.:0.5601, .\n\n:0.1250, ..:0.0758, \n\n:0.0460, ..\n\n:0.0316]
  step 25: [.:0.5891, .\n\n:0.1160, ..:0.0704, \n\n:0.0427, ..\n\n:0.0293]
  step 26: [.:0.5832, .\n\n:0.1148, ..:0.0696, \n\n:0.0422, ..\n\n:0.0309]
  step 27: [.:0.5742, .\n\n:0.1281, ..:0.0686, \n\n:0.0416, ..\n\n:0.0304]
  step 28: [.:0.5627, .\n\n:0.1256, ..:0.0762, \n\n:0.0408, ..\n\n:0.0338]
  step 29: [.:0.5665, .\n\n:0.1264, ..:0.0767, \n\n:0.0385, ..\n\n:0.0320]
  step 30: [.:0.5689, .\n\n:0.1269, ..:0.0770, \n\n:0.0364, ..\n\n:0.0301]
  step 31: [.:0.5519, .\n\n:0.1395, ..:0.0747, \n\n:0.0376, ..\n\n:0.0331]
  step 32: [.:0.5382, .\n\n:0.1361, ..:0.0825, \n\n:0.0366, ..\n\n:0.0344]
  step 33: [.:0.5547, .\n\n:0.1403, ..:0.0751, ..\n\n:0.0333, \n\n:0.0333]
  step 34: [.:0.5588, .\n\n:0.1413, ..:0.0756, \n\n:0.0336, ..\n\n:0.0315]
  step 35: [.:0.5383, .\n\n:0.1361, ..:0.0825, ..\n\n:0.0344, \n\n:0.0344]
  step 36: [.:0.5289, .\n\n:0.1515, ..:0.0811, ..\n\n:0.0338, \n\n:0.0318]
  step 37: [.:0.5600, .\n\n:0.1416, ..:0.0758, ..\n\n:0.0316, \n\n:0.0297]
  step 38: [.:0.5420, .\n\n:0.1370, ..:0.0831, ..\n\n:0.0346, \n\n:0.0306]
  step 39: [.:0.5498, .\n\n:0.1390, ..:0.0843, ..\n\n:0.0330, \n\n:0.0291]

=== Case 42 ===
  Agent: Critic
  step 0: [Human:0.5934, You:0.0910, A:0.0625, Given:0.0379, The:0.0158]
  step 1: [ the:0.2688, <space>:0.0873, \n\n:0.0770,  a:0.0563,  is:0.0387]
  step 2: [<space>:0.1206,  the:0.0829, .:0.0645,  is:0.0503,  to:0.0503]
  step 3: [<space>:0.1714,  the:0.1107, .:0.0631,  is:0.0407,  to:0.0359]
  step 4: [<space>:0.1798,  the:0.1236, .:0.0849, \n\n:0.0484,  is:0.0354]
  step 5: [\n\n:0.1518, .:0.1182, <space>:0.0633,  the:0.0361, ,:0.0339]
  step 6: [\n\n:0.1412, .:0.1171, <space>:0.0627, ,:0.0357,  th:0.0335]
  step 7: [\n\n:0.1296, .:0.1143, <space>:0.0612,  th:0.0395, ,:0.0349]
